Time,Etalon,Fcn1 (0.0054 -> 0.0081),Fcn1 (0.0054 -> 0.0102),Fcn17 (0.027 -> 0.0405),Fcn17 (0.027 -> 0.054),Fcn7 (0.025 -> 0.0375),Fcn7 (0.025 -> 0.05),Fcn9 (0.45 -> 0.625),Fcn9 (0.45 -> 0.90),Fcn11 (0.015 -> 0.0225),Fcn11 (0.015 -> 0.030),Fcn14 (0.306 -> 0.459),Fcn14 (0.306 -> 0.612)
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,-5.405620972,-3.594806005,-2.907859826,-5.405620972,-5.405620972,-5.552800832,-5.626390761,-5.529252054,-5.626390761,-5.158802322,-5.035392997,-5.158802322,-5.035392997
0.008,-19.14908333,-13.19964069,-10.82807742,-19.14908333,-19.14908333,-20.08403572,-20.56025692,-19.95306311,-20.58542004,-17.64599221,-16.87085782,-17.58502207,-16.80178198
0.01,-38.13927762,-27.24397248,-22.66077204,-38.13927762,-38.13927762,-40.88586382,-42.30166959,-40.53782895,-42.42568252,-33.84060003,-31.5800614,-33.54828085,-31.24685022
0.012,-60.22722537,-44.45835602,-37.4671475,-60.22722537,-60.22722537,-65.98590444,-68.98755723,-65.32989503,-69.34876633,-51.43497047,-46.7274795,-50.60389366,-45.77501588
0.014,-83.91817457,-63.82103163,-54.45099069,-83.91817457,-83.91817457,-93.93477818,-99.21351163,-92.92396518,-100.0216755,-68.99344378,-60.86024228,-67.17616853,-58.76678627
0.016,-101.3214271,-79.95588324,-69.2543037,-101.7943445,-102.0343284,-116.658926,-124.8359986,-115.3270183,-126.3730946,-79.05024066,-66.68526693,-75.67028271,-62.77193705
0.018,-105.8170103,-87.69742115,-77.47303346,-108.1792567,-109.3880179,-126.9614084,-138.3802625,-125.464353,-140.9724719,-75.98259493,-59.07152503,-70.41359072,-52.58951245
0.02,-98.34714197,-86.68410211,-78.48800393,-104.4834329,-107.6541446,-125.2915208,-140.0495965,-123.8728557,-144.0389461,-61.51496655,-40.15444201,-53.15026328,-30.36402696
0.022,-81.16799518,-77.72625295,-72.68010823,-92.72858627,-98.767876,-113.6072145,-131.6456309,-112.5504641,-137.3677082,-38.30935934,-12.83628457,-26.61116419,0.935913546
0.024,-56.93973526,-62.22424445,-60.9873744,-75.04560542,-84.61777324,-94.39870679,-115.562162,-93.99717904,-123.3327072,-9.195847916,19.92393828,6.281359838,38.25588427
0.026,-29.67935786,-42.75807819,-45.38613274,-54.38275933,-67.62533013,-71.5967624,-95.67337647,-72.13491687,-105.7807269,21.78228857,54.02565416,41.38425346,77.38850528
0.028,-4.596212784,-23.0311526,-28.87664309,-34.46161778,-50.75144149,-50.3783953,-77.12605412,-52.12086145,-89.82741048,49.4729323,84.30465388,73.44759723,113.0621499
0.03,14.83478078,-5.922134294,-13.91855212,-17.84830047,-36.06889973,-34.22018308,-63.38380682,-37.40579707,-78.90396203,70.50322761,107.4036597,99.00802452,141.8177888
0.032,27.66268311,7.2600431,-1.768489499,-5.40606531,-24.35113298,-24.09549324,-55.4182113,-28.93458959,-73.94983387,84.04465134,122.5258438,117.1564513,162.7658769
