Тип сигнала,Уровень шума (%),1σ мин,1σ сред,1σ макс,2σ мин,2σ сред,2σ макс,3σ мин,3σ сред,3σ макс
Эталон,10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Fcn1 (0.0054 -> 0.0081),10,47.0,94.7,100.0,76.0,97.6,100.0,85.0,98.5,100.0
Fcn1 (0.0054 -> 0.0102),10,30.0,93.0,100.0,56.0,95.6,100.0,77.0,97.7,100.0
Fcn17 (0.027 -> 0.0405),10,52.0,95.2,100.0,60.0,96.0,100.0,65.0,96.5,100.0
Fcn17 (0.027 -> 0.054),10,31.0,93.0,100.0,55.0,95.5,100.0,58.0,95.8,100.0
Fcn7 (0.025 -> 0.0375),10,0.0,61.6,100.0,0.0,78.1,100.0,42.0,90.6,100.0
Fcn7 (0.025 -> 0.05),10,0.0,44.6,100.0,0.0,60.8,100.0,1.0,71.0,100.0
Fcn9 (0.45 -> 0.625),10,0.0,3.0,25.0,0.0,6.7,42.0,0.0,10.0,53.0
Fcn9 (0.45 -> 0.90),10,0.0,2.3,18.0,0.0,4.6,40.0,0.0,6.6,60.0
Fcn11 (0.015 -> 0.0225),10,0.0,75.6,100.0,25.0,88.1,100.0,56.0,95.4,100.0
Fcn11 (0.015 -> 0.030),10,0.0,64.1,100.0,0.0,75.4,100.0,9.0,82.4,100.0
Fcn14 (0.306 -> 0.459),10,0.0,2.1,10.0,0.0,14.2,89.0,0.0,27.1,100.0
Fcn14 (0.306 -> 0.612),10,0.0,1.9,14.0,0.0,3.2,27.0,0.0,5.1,42.0
